お疲れ様,挨拶
おつかれさま,挨拶
お疲れさま,挨拶
お疲れ,挨拶
お疲れさまです,挨拶
ご機嫌よう,挨拶
ごきげんよう,挨拶
いつも、お世話になっています,挨拶
毎度、お世話になっています,挨拶
こんにちわ,挨拶
こんにちは,挨拶
こんちは,挨拶
ちわー,挨拶
ちわーす,挨拶
はじめまして,挨拶
おはつ,挨拶
初めまして、よろしくお願いします,挨拶
初めまして,挨拶
ハロー,挨拶
まいど,挨拶
おっはー,朝挨拶
おはよう,朝挨拶
おはようございます,朝挨拶
こんばんは,夜挨拶
おやすみなさい,夜挨拶
おやすみ,夜挨拶
お疲れ,夜挨拶
こんばんわ,夜挨拶
こんばんは,夜挨拶
お晩です,夜挨拶
さようなら,別れ挨拶
さよなら,別れ挨拶
じゃあね,別れ挨拶
またね,別れ挨拶
お疲れさまでした,別れ挨拶
お先に失礼いたします,別れ挨拶
ありがとうごさいました,別れ挨拶
バイバーイ,別れ挨拶
バイバイ,別れ挨拶
今後ともよろしくお願い致します,別れ挨拶
また明日,別れ挨拶
またね,別れ挨拶
ただいま,帰着挨拶
帰宅しました,帰着挨拶
只今、帰りました,帰着挨拶
帰りました,帰着挨拶
冷たいですか,温度質問
冷えていますか,温度質問
熱いですね,温度質問
あついですね,温度質問
暖かいですか,気温質問
今日は暑いですか,気温質問
外は暑いですか,気温質問
外は寒いですか,気温質問
快適ですか,気温質問
寒いね,気温質問
暑いですね,気温質問
風が強いですか,風速質問
自己紹介してよ,自己依頼
自己紹介してください,自己依頼
自己紹介お願いします,自己依頼
明日の天気はどうですか,明日天気
明日の天気,明日天気
日が照っていますか,今日天気
曇っていますか,今日天気
天気は,今日天気
雪が降りましたか,今日天気
晴れですか,今日天気
今日は晴れですね,今日天気
今日は雨ですか,今日天気
今日の予報はどうですか,今日天気
今日の天気は,今日天気
今週の天気,明日天気
今の天気は,今日天気
雨ですか,天気予報
雨が降りますか,天気予報
雨が降りましたか,天気予報
お日様が見えましたか,今日天気
明日の天気は,明日天気
明日の予報は,明日天気
明日の天気予報は,明日天気
私の名前が解りますか,質問名前
僕の名前が判りますか,質問名前
僕の名前を知っていますか,質問名前
名前わかる,質問名前
わたしの名前を知っていますか,質問名前
ぼくの名前わかる,質問名前
私の名前を知っていますか,質問名前
名前知っている,質問名前
可愛いな,良評価
可愛いよ,良評価
良いよ,良評価
良いね,良評価
良いな,良評価
いいね,良評価
いいな,良評価
かわいいね,良評価
かわいいよ,良評価
かわいい,良評価
かわいいな,良評価
可愛いよ,良評価
おもしろい,良評価
面白いよ,良評価
面白いね,良評価
おもしろいよ,良評価
おもしろいな,良評価
凄いな,良評価
凄いよ,良評価
すごいな,良評価
すごいよ,良評価
優しいね,良評価
やさしいね,良評価
楽しかった,良評価
残念,悪評価
まだまだだね,悪評価
ダメ,悪評価
バカ,悪評価
馬鹿,悪評価
お元気ですか,質問状態
調子は,質問状態
元気ですか,質問状態
調子はどうだい,質問状態
げんきですか,質問状態
うんそう,共感
そうそう,共感
そうですね,共感
そうね,共感
ありがとう,感謝
有難う,感謝
ありがとうございます,感謝
ありがと,感謝
